,ngram,theme,value
220,case,crime,45
223,biometric,aadhaar_based_schemes,45
586,subsidy,aadhaar_based_subsidies,45
603,technology,e-governance,45
35,bank,aadhaar_political_debates,44
51,court,crime,44
131,issue,aadhaar_based_subsidies,44
248,system,aadhaar_based_subsidies,44
295,benefit,aadhaar_political_debates,44
633,public,aadhaar_political_debates,44
393,citizen,digital_stack,43
540,individual,macroeconomic_policy,43
197,information,aadhaar_based_schemes,42
626,public,aadhaar_based_schemes,42
228,biometric,macroeconomic_policy,41
605,technology,macroeconomic_policy,40
655,petitioner,e-governance,40
180,link,money_laundering,39
236,law,aadhaar_based_schemes,39
282,supreme,aadhaar_political_debates,39
374,minister,judiciary_right_to_privacy,39
627,public,digital_stack,39
176,link,macroeconomic_policy,38
209,case,aadhaar_based_subsidies,38
116,uidai,crime,37
384,mobile,macroeconomic_policy,37
394,citizen,enrolment_process,37
412,tax,aadhaar_political_debates,37
449,digital,macroeconomic_policy,37
514,payment,macroeconomic_policy,37
535,individual,aadhaar_based_schemes,37
42,court,digital_stack,36
90,card,crime,36
100,privacy,aadhaar_political_debates,36
219,case,money_laundering,36
399,citizen,aadhaar_political_debates,36
501,section,macroeconomic_policy,36
641,centre,enrolment_process,36
154,scheme,money_laundering,35
269,report,aadhaar_political_debates,35
673,database,judiciary_right_to_privacy,35
40,court,aadhaar_based_subsidies,34
287,benefit,aadhaar_based_subsidies,34
484,authority,digital_stack,34
613,transaction,aadhaar_based_schemes,34
275,supreme,aadhaar_based_schemes,33
30,bank,enrolment_process,32
237,law,digital_stack,32
271,report,money_laundering,32
440,mandatory,money_laundering,32
354,bill,digital_stack,31
362,bill,money_laundering,31
579,company,macroeconomic_policy,31
418,authentication,aadhaar_based_schemes,30
574,company,aadhaar_based_schemes,30
588,subsidy,digital_stack,30
25,data,crime,29
167,act,money_laundering,29
462,identification,macroeconomic_policy,29
524,process,enrolment_process,29
683,justice,macroeconomic_policy,29
141,issue,money_laundering,28
258,system,money_laundering,28
567,modi,data_security,28
111,uidai,macroeconomic_policy,27
113,uidai,aadhaar_political_debates,27
121,account,enrolment_process,27
222,biometric,aadhaar_based_subsidies,27
349,identity,money_laundering,27
405,tax,aadhaar_based_schemes,27
621,transaction,judiciary_right_to_privacy,27
644,centre,macroeconomic_policy,27
670,database,macroeconomic_policy,27
206,information,money_laundering,26
211,case,digital_stack,26
308,security,aadhaar_political_debates,26
347,identity,aadhaar_political_debates,26
625,public,aadhaar_based_subsidies,26
77,state,crime,25
436,mandatory,macroeconomic_policy,25
488,authority,macroeconomic_policy,25
375,minister,money_laundering,24
406,tax,digital_stack,24
490,authority,aadhaar_political_debates,24
506,section,crime,24
433,mandatory,enrolment_process,23
438,mandatory,aadhaar_political_debates,23
17,data,enrolment_process,22
186,service,enrolment_process,22
217,case,aadhaar_political_debates,22
300,security,aadhaar_based_subsidies,22
417,authentication,aadhaar_based_subsidies,22
430,mandatory,aadhaar_based_subsidies,22
485,authority,enrolment_process,22
536,individual,digital_stack,22
666,database,digital_stack,22
50,court,money_laundering,21
147,scheme,enrolment_process,21
173,link,enrolment_process,21
276,supreme,digital_stack,21
529,process,aadhaar_political_debates,21
6,government,financial_inclusion,20
142,issue,crime,20
256,system,aadhaar_political_debates,20
386,mobile,aadhaar_political_debates,20
22,data,aadhaar_political_debates,19
53,right,aadhaar_based_subsidies,19
212,case,enrolment_process,19
274,supreme,aadhaar_based_subsidies,19
290,benefit,enrolment_process,19
350,identity,crime,19
459,identification,enrolment_process,19
464,identification,aadhaar_political_debates,19
581,company,aadhaar_political_debates,19
157,act,aadhaar_based_subsidies,18
207,information,crime,18
225,biometric,enrolment_process,18
233,biometric,crime,18
319,bench,macroeconomic_policy,18
492,authority,money_laundering,18
518,payment,money_laundering,18
526,process,financial_inclusion,18
564,modi,e-governance,18
640,centre,digital_stack,18
685,justice,aadhaar_political_debates,18
272,report,crime,17
285,supreme,crime,17
334,pan,aadhaar_political_debates,17
607,technology,aadhaar_political_debates,17
618,transaction,macroeconomic_policy,17
342,identity,enrolment_process,16
493,authority,crime,16
665,database,aadhaar_based_schemes,16
84,card,financial_inclusion,15
183,service,aadhaar_based_subsidies,15
245,law,money_laundering,15
321,bench,aadhaar_political_debates,15
466,identification,money_laundering,15
496,section,aadhaar_based_schemes,15
505,section,money_laundering,15
594,subsidy,aadhaar_political_debates,15
638,centre,aadhaar_based_subsidies,15
168,act,crime,14
232,biometric,money_laundering,14
339,identity,aadhaar_based_subsidies,14
552,base,financial_inclusion,14
557,base,money_laundering,14
569,modi,judiciary_right_to_privacy,14
230,biometric,aadhaar_political_debates,13
368,minister,enrolment_process,13
474,money,financial_inclusion,13
503,section,aadhaar_political_debates,13
513,payment,financial_inclusion,13
542,individual,aadhaar_political_debates,13
560,modi,aadhaar_based_subsidies,13
71,state,financial_inclusion,12
175,link,financial_inclusion,12
363,bill,crime,12
448,digital,financial_inclusion,12
482,authority,aadhaar_based_subsidies,12
617,transaction,financial_inclusion,12
14,data,aadhaar_based_subsidies,11
24,data,money_laundering,11
38,bank,crime,11
193,service,money_laundering,11
204,information,aadhaar_political_debates,11
432,mandatory,digital_stack,11
469,money,aadhaar_based_subsidies,11
547,base,aadhaar_based_subsidies,11
570,modi,money_laundering,11
620,transaction,aadhaar_political_debates,11
136,issue,financial_inclusion,10
159,act,digital_stack,10
188,service,financial_inclusion,10
284,supreme,money_laundering,10
311,security,crime,10
313,bench,aadhaar_based_subsidies,10
315,bench,digital_stack,10
327,pan,aadhaar_based_schemes,10
456,identification,aadhaar_based_subsidies,10
467,identification,crime,10
604,technology,financial_inclusion,10
648,centre,money_laundering,10
149,scheme,financial_inclusion,9
181,link,crime,9
310,security,money_laundering,9
391,citizen,aadhaar_based_subsidies,9
517,payment,judiciary_right_to_privacy,9
532,process,crime,9
534,individual,aadhaar_based_subsidies,9
555,base,aadhaar_political_debates,9
609,technology,money_laundering,9
678,justice,aadhaar_based_schemes,9
679,justice,digital_stack,9
19,data,financial_inclusion,8
43,court,enrolment_process,8
63,right,money_laundering,8
76,state,money_laundering,8
129,account,crime,8
160,act,enrolment_process,8
196,information,aadhaar_based_subsidies,8
199,information,enrolment_process,8
238,law,enrolment_process,8
297,benefit,money_laundering,8
328,pan,digital_stack,8
423,authentication,macroeconomic_policy,8
453,digital,money_laundering,8
521,process,aadhaar_based_subsidies,8
539,individual,financial_inclusion,8
558,base,crime,8
675,database,crime,8
102,privacy,money_laundering,7
105,uidai,aadhaar_based_subsidies,7
235,law,aadhaar_based_subsidies,7
332,pan,macroeconomic_policy,7
409,tax,financial_inclusion,7
425,authentication,aadhaar_political_debates,7
630,public,financial_inclusion,7
56,right,enrolment_process,6
214,case,financial_inclusion,6
251,system,enrolment_process,6
277,supreme,enrolment_process,6
337,pan,crime,6
401,citizen,money_laundering,6
537,individual,enrolment_process,6
550,base,enrolment_process,6
652,petitioner,aadhaar_based_schemes,6
664,database,aadhaar_based_subsidies,6
45,court,financial_inclusion,5
264,report,enrolment_process,5
314,bench,aadhaar_based_schemes,5
381,mobile,enrolment_process,5
388,mobile,money_laundering,5
451,digital,aadhaar_political_debates,5
472,money,enrolment_process,5
480,money,crime,5
508,payment,aadhaar_based_subsidies,5
531,process,money_laundering,5
657,petitioner,macroeconomic_policy,5
688,justice,crime,5
103,privacy,crime,4
115,uidai,money_laundering,4
194,service,crime,4
292,benefit,financial_inclusion,4
370,minister,financial_inclusion,4
376,minister,crime,4
389,mobile,crime,4
402,citizen,crime,4
420,authentication,enrolment_process,4
435,mandatory,financial_inclusion,4
511,payment,enrolment_process,4
571,modi,crime,4
573,company,aadhaar_based_subsidies,4
649,centre,crime,4
667,database,enrolment_process,4
674,database,money_laundering,4
677,justice,aadhaar_based_subsidies,4
64,right,crime,3
246,law,crime,3
266,report,financial_inclusion,3
279,supreme,financial_inclusion,3
323,bench,money_laundering,3
331,pan,financial_inclusion,3
344,identity,financial_inclusion,3
396,citizen,financial_inclusion,3
497,section,digital_stack,3
516,payment,aadhaar_political_debates,3
565,modi,financial_inclusion,3
584,company,crime,3
596,subsidy,money_laundering,3
599,technology,aadhaar_based_subsidies,3
610,technology,crime,3
612,transaction,aadhaar_based_subsidies,3
635,public,money_laundering,3
651,petitioner,aadhaar_based_subsidies,3
672,database,aadhaar_political_debates,3
687,justice,money_laundering,3
162,act,financial_inclusion,2
201,information,financial_inclusion,2
305,security,financial_inclusion,2
326,pan,aadhaar_based_subsidies,2
378,mobile,aadhaar_based_subsidies,2
415,tax,crime,2
422,authentication,financial_inclusion,2
443,digital,aadhaar_based_subsidies,2
446,digital,enrolment_process,2
495,section,aadhaar_based_subsidies,2
545,individual,crime,2
578,company,financial_inclusion,2
589,subsidy,enrolment_process,2
591,subsidy,financial_inclusion,2
597,subsidy,crime,2
628,public,enrolment_process,2
636,public,crime,2
58,right,financial_inclusion,1
92,privacy,aadhaar_based_subsidies,1
97,privacy,financial_inclusion,1
110,uidai,financial_inclusion,1
155,scheme,crime,1
240,law,financial_inclusion,1
253,system,financial_inclusion,1
259,system,crime,1
298,benefit,crime,1
318,bench,financial_inclusion,1
329,pan,enrolment_process,1
357,bill,financial_inclusion,1
383,mobile,financial_inclusion,1
404,tax,aadhaar_based_subsidies,1
428,authentication,crime,1
461,identification,financial_inclusion,1
487,authority,financial_inclusion,1
602,technology,enrolment_process,1
623,transaction,crime,1
643,centre,financial_inclusion,1
659,petitioner,aadhaar_political_debates,1
669,database,financial_inclusion,1
680,justice,enrolment_process,1
682,justice,financial_inclusion,1
95,privacy,enrolment_process,0
227,biometric,financial_inclusion,0
303,security,enrolment_process,0
316,bench,enrolment_process,0
324,bench,crime,0
352,bill,aadhaar_based_subsidies,0
355,bill,enrolment_process,0
407,tax,enrolment_process,0
427,authentication,money_laundering,0
441,mandatory,crime,0
454,digital,crime,0
498,section,enrolment_process,0
500,section,financial_inclusion,0
519,payment,crime,0
563,modi,enrolment_process,0
576,company,enrolment_process,0
615,transaction,enrolment_process,0
653,petitioner,digital_stack,0
654,petitioner,enrolment_process,0
656,petitioner,financial_inclusion,0
661,petitioner,money_laundering,0
662,petitioner,crime,0
